property_id,similar_property_ids
COMP-1643118697719824697,"['RPLU-33423096718', 'RPLU-63223179982', 'RPLU-33423101450', 'OLRS-00011942796']"
COMP-1643634096278961985,[]
COMP-1643763035693334713,['PRCH-35161219']
COMP-1644244162443084873,"['RPLU-536423119525', 'COMP-1705214924582711849']"
COMP-1644258008931038721,['OLRS-00011942796']
COMP-1644271841578057513,[]
COMP-1644334412624415737,[]
COMP-1644338610787212937,[]
COMP-1644375462202157617,[]
COMP-1644410139835161225,[]
COMP-1644464154082003673,[]
COMP-1644495703443671689,[]
COMP-1644949330448673425,[]
COMP-1644993404455537921,[]
COMP-1645067292782780169,[]
COMP-1645766123279196833,"['RLMX-101370', 'RLMX-102052']"
COMP-1646324459539935913,[]
COMP-1646363773363921697,[]
COMP-1646396185544254577,"['RPLU-21923152653', 'COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1646417136562464553,"['RPLU-33423152595', 'COMP-1646457046933752113']"
COMP-1646427824177315713,['RPLU-5123143305']
COMP-1646455687945815625,"['RPLU-33423116390', 'COMP-1705214924582711849']"
COMP-1646457046933752113,['COMP-1646417136562464553']
COMP-1646475647295999921,"['COMP-1636269756241042569', 'OLRS-00011942796']"
COMP-1646510850844661033,"['COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1646545075392009081,['COMP-1646549418266935753']
COMP-1646549418266935753,['COMP-1646545075392009081']
COMP-1646646119304773137,"['COMP-1631367320428506857', 'RPLU-63223141982', 'OLRS-00012047408', 'RPLU-63223238783']"
COMP-1646667006301159401,[]
COMP-1646752147635299113,"['COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1647156390125344945,['COMP-1705214924582711849']
COMP-1647225043659150193,['COMP-1705214924582711849']
COMP-1647341141767120737,[]
COMP-1647691929396155881,[]
COMP-1647698444349507633,"['COMP-1651671709728576761', 'COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1647715650424576465,"['COMP-1651671709728576761', 'COMP-1705258241987142361']"
COMP-1647892041048831537,['COMP-1705214924582711849']
COMP-1647911497938831641,['COMP-1705258241987142361']
COMP-1647940439374622817,[]
COMP-1647943355372190201,[]
COMP-1648028069122669729,[]
COMP-1648081645828163713,[]
COMP-1648782675557641585,['RPLU-33422974931']
COMP-1648791511379158769,['COMP-1643043168269898649']
